val_mse,mse,val_mae,mae
0.409078,0.42335,0.300823,0.306691
0.408977,0.423314,0.300732,0.306683
0.408929,0.423289,0.300665,0.306687
0.408506,0.423129,0.300106,0.306489
0.40827,0.423103,0.299911,0.306509
0.408055,0.42307,0.299685,0.306503
0.408105,0.423025,0.299668,0.306472
0.408324,0.423023,0.299873,0.306467
0.407992,0.422859,0.299627,0.306221
0.407872,0.422861,0.299494,0.30623
0.407974,0.422858,0.299598,0.306217
0.408049,0.422838,0.299613,0.306197
0.407794,0.42267,0.29939,0.306074
0.407331,0.422515,0.299028,0.305892
0.407467,0.422481,0.299241,0.305897
0.40758,0.422458,0.299393,0.305849
0.407488,0.422422,0.29931,0.305827
0.407692,0.422372,0.299478,0.305753
0.407726,0.422366,0.299522,0.305753
0.407979,0.422296,0.29976,0.305666
0.408131,0.422244,0.29997,0.305597
0.408297,0.422208,0.300131,0.305563
0.408477,0.422172,0.30033,0.305542
0.408643,0.42214,0.30051,0.305506
0.408585,0.422118,0.300429,0.305507
0.408724,0.422076,0.300528,0.305457
0.408574,0.422004,0.300333,0.305364
0.408537,0.421803,0.300256,0.305165
0.408461,0.421774,0.300106,0.305137
0.408512,0.42176,0.300137,0.305151
0.408538,0.421613,0.300082,0.305011
0.408303,0.421567,0.299933,0.305005
0.408363,0.421569,0.299996,0.305001
0.408395,0.421489,0.29999,0.30494
0.408302,0.421488,0.299965,0.30494
0.408361,0.421388,0.29995,0.304799
0.40805,0.421131,0.299632,0.304556
0.407942,0.42113,0.29951,0.304565
0.408038,0.421078,0.299654,0.304547
0.408278,0.421041,0.299843,0.304515
0.408217,0.420811,0.299779,0.304311
0.408332,0.420738,0.299858,0.304247
0.408065,0.420544,0.299731,0.304089
0.408135,0.420533,0.299775,0.304048
0.408177,0.420486,0.299832,0.304
0.408501,0.420485,0.300067,0.30398
0.408468,0.420423,0.29983,0.303923
0.408423,0.420417,0.299768,0.303911
0.408252,0.420385,0.299653,0.303895
0.408912,0.420325,0.300371,0.303828
0.408723,0.420252,0.300202,0.303745
0.408601,0.420208,0.300075,0.303713
0.408477,0.420056,0.299975,0.303572
0.408578,0.419897,0.300166,0.303489
0.408615,0.419898,0.300212,0.303493
0.408625,0.419891,0.300233,0.303491
0.408589,0.419756,0.300323,0.303362
0.408676,0.419513,0.300271,0.303101
0.408856,0.419489,0.300382,0.303072
0.408901,0.419447,0.300469,0.303023
0.408862,0.419416,0.300496,0.303005
0.408909,0.419342,0.300563,0.302908
0.408995,0.419325,0.300647,0.302897
0.408923,0.419293,0.300534,0.302872
0.408635,0.419279,0.300242,0.302883
0.408598,0.419235,0.300217,0.302867
0.408485,0.419209,0.300144,0.30285
0.408458,0.419168,0.300166,0.302828
0.408523,0.41915,0.30027,0.302794
0.408565,0.41914,0.300321,0.302775
0.408466,0.419114,0.300177,0.302743
0.40833,0.419083,0.300086,0.302747
0.408291,0.419047,0.300092,0.302721
0.408201,0.418964,0.300054,0.30268
0.407946,0.418939,0.299846,0.302678
0.407812,0.418882,0.299753,0.302661
0.407713,0.418775,0.299719,0.302565
0.407858,0.418694,0.299871,0.302483
0.407321,0.41846,0.299464,0.302248
0.407136,0.418386,0.299247,0.302236
0.407146,0.418341,0.29923,0.302194
0.40705,0.418323,0.299172,0.30218
0.407078,0.418292,0.299228,0.302149
0.407068,0.418244,0.299292,0.302119
0.407366,0.418133,0.2996,0.302058
0.406913,0.417957,0.29923,0.301863
0.406805,0.417908,0.299106,0.301799
0.406865,0.417875,0.299066,0.301786
0.406848,0.417869,0.299068,0.301789
0.406937,0.417865,0.299167,0.301779
0.406907,0.417815,0.299108,0.301759
0.406881,0.417791,0.299084,0.301742
0.40678,0.4178,0.298967,0.301775
0.406662,0.417718,0.298881,0.301657
0.406671,0.417568,0.298833,0.301527
0.406768,0.417504,0.298984,0.301452
0.405901,0.417451,0.298033,0.301406
0.405866,0.417375,0.297969,0.301332
0.405908,0.417346,0.298017,0.301303
0.405864,0.417322,0.297965,0.301275
0.405978,0.417325,0.298089,0.301268
