val_mse,mse,val_mae,mae
0.363203,0.383615,0.265296,0.259132
0.363058,0.383598,0.265231,0.259134
0.363078,0.383594,0.26521,0.259158
0.363066,0.38357,0.265335,0.259117
0.363028,0.38357,0.265294,0.259119
0.363002,0.383552,0.265263,0.259105
0.362826,0.383487,0.265111,0.259052
0.362865,0.383471,0.265129,0.259044
0.362755,0.383449,0.264903,0.259058
0.362685,0.383413,0.264882,0.258998
0.362662,0.383413,0.264925,0.258981
0.36288,0.383361,0.264984,0.259033
0.362835,0.383361,0.264984,0.258988
0.362956,0.383327,0.265223,0.258957
0.362826,0.383217,0.26514,0.258875
0.362944,0.383138,0.265251,0.258826
0.362944,0.383129,0.265251,0.25882
0.363048,0.383095,0.265398,0.258787
0.363037,0.383094,0.265377,0.258788
0.362987,0.383076,0.265293,0.258786
0.362936,0.383024,0.265335,0.258676
0.362896,0.383003,0.265266,0.258672
0.362572,0.382925,0.264958,0.258568
0.362472,0.38292,0.264856,0.258545
0.362604,0.382825,0.265027,0.258499
0.362435,0.382755,0.264883,0.258503
0.362395,0.382751,0.264806,0.258511
0.362466,0.382747,0.264955,0.258501
0.36255,0.382739,0.265094,0.258485
0.3625,0.382721,0.265104,0.258452
0.362299,0.382655,0.264979,0.258408
0.362269,0.382654,0.264922,0.258413
0.362168,0.382644,0.264889,0.25836
0.362355,0.382607,0.265207,0.258287
0.362301,0.382597,0.265112,0.258289
0.362351,0.38259,0.265189,0.258283
0.362352,0.38253,0.265242,0.258259
0.362429,0.382479,0.265229,0.258218
0.36239,0.382465,0.265139,0.258185
0.362198,0.382388,0.264951,0.258042
0.362228,0.382392,0.264991,0.258037
0.36209,0.382121,0.264823,0.257924
0.362077,0.382116,0.264837,0.25788
0.361834,0.382003,0.264614,0.257786
0.361838,0.381978,0.264593,0.257798
0.361814,0.381906,0.264477,0.257745
0.361777,0.381874,0.264499,0.25772
0.361715,0.381818,0.264454,0.257659
0.361618,0.381728,0.26448,0.257607
0.361465,0.381703,0.264303,0.257621
0.36155,0.381636,0.264393,0.257571
0.361161,0.381521,0.263976,0.257473
0.361168,0.38152,0.26399,0.257472
0.361203,0.381517,0.264136,0.257462
0.361266,0.381485,0.264177,0.257476
0.361272,0.381467,0.264194,0.257465
0.361273,0.381467,0.264195,0.257465
0.361076,0.381353,0.264085,0.257324
0.361102,0.381355,0.26414,0.257318
0.361086,0.381359,0.264107,0.257322
0.361179,0.381305,0.264113,0.257307
0.361163,0.381306,0.264078,0.25731
0.361359,0.381267,0.264078,0.257253
0.361846,0.381049,0.264311,0.257097
0.361826,0.381023,0.26436,0.257087
0.36185,0.38102,0.264405,0.257063
0.361857,0.380887,0.264383,0.257002
0.361801,0.380813,0.264316,0.256933
0.361926,0.380801,0.264476,0.256937
0.362033,0.380794,0.264624,0.256964
0.362111,0.380782,0.264768,0.256946
0.362215,0.38073,0.264802,0.256919
0.362224,0.380729,0.264815,0.256914
0.361971,0.380574,0.264546,0.256784
0.361929,0.380568,0.264496,0.256761
0.361548,0.380482,0.264089,0.256698
0.361578,0.380476,0.264153,0.256695
0.361582,0.38046,0.264146,0.256709
0.361556,0.380448,0.264207,0.256696
0.361571,0.380448,0.264239,0.256694
0.36158,0.38043,0.264222,0.256675
0.361636,0.3804,0.264285,0.256681
0.361629,0.380368,0.264236,0.256655
0.361812,0.38037,0.264512,0.256667
0.361964,0.380254,0.264579,0.256589
0.361872,0.380239,0.264505,0.256549
0.362128,0.380219,0.264584,0.256573
0.362054,0.380176,0.264496,0.256538
0.362017,0.380174,0.26442,0.256537
0.362029,0.380136,0.264418,0.256519
0.362058,0.380136,0.264474,0.25652
0.362027,0.380101,0.264481,0.2565
0.361998,0.380083,0.264571,0.256495
0.361902,0.379998,0.264637,0.256498
0.361998,0.3799,0.264715,0.256434
0.362083,0.37988,0.264718,0.256477
0.361871,0.379879,0.264445,0.256467
0.361985,0.379859,0.264548,0.256443
0.361765,0.379745,0.264295,0.256409
0.361744,0.379739,0.264293,0.256414
0.36124,0.379594,0.263832,0.256262
0.361282,0.379581,0.263881,0.256232
0.361345,0.37954,0.264012,0.256178
0.361274,0.379536,0.26403,0.256163
0.361156,0.379442,0.263933,0.256093
0.361181,0.379272,0.263792,0.255975
0.361159,0.37927,0.263742,0.255973
0.361285,0.379182,0.263634,0.255967
0.361171,0.379174,0.263516,0.255954
0.361219,0.37914,0.263492,0.255956
0.361272,0.379073,0.263587,0.255926
0.361357,0.379046,0.263696,0.255934
0.361558,0.378952,0.26387,0.2559
0.361692,0.378939,0.264055,0.255936
0.361701,0.378934,0.264057,0.255978
0.361661,0.378925,0.263942,0.255977
0.361699,0.378923,0.26395,0.255974
0.361968,0.378873,0.264253,0.255936
0.361636,0.378533,0.264008,0.255736
0.361589,0.378484,0.263945,0.255659
0.361633,0.378469,0.263849,0.255659
0.36168,0.378463,0.263981,0.255661
0.361678,0.378456,0.263973,0.255659
0.361764,0.37823,0.263969,0.255547
0.36179,0.378231,0.264029,0.255546
0.361564,0.378084,0.263853,0.255389
0.361474,0.378034,0.263712,0.255322
0.361443,0.378034,0.263638,0.255323
0.361485,0.378039,0.263683,0.255316
0.361408,0.377997,0.263598,0.255315
0.361503,0.377982,0.263577,0.255314
0.36152,0.377947,0.263596,0.255277
0.361467,0.377948,0.263532,0.255269
0.361422,0.377932,0.26351,0.255271
0.361417,0.377852,0.263504,0.255142
0.361446,0.377818,0.26354,0.25511
0.361418,0.377765,0.263437,0.255127
0.361504,0.377728,0.263476,0.255108
0.361459,0.377706,0.263533,0.255075
0.36149,0.377676,0.263605,0.255035
0.361476,0.377664,0.263718,0.255083
0.361807,0.377609,0.263994,0.255062
0.361962,0.377625,0.264318,0.25512
0.362044,0.377619,0.264355,0.255117
