val_mse,mse,val_mae,mae
0.454381,0.37756,0.311646,0.255629
0.454591,0.377447,0.311837,0.255655
0.454504,0.377442,0.311662,0.255679
0.455153,0.377144,0.311554,0.255494
0.455056,0.377126,0.311416,0.255441
0.454121,0.37699,0.309927,0.255176
0.454414,0.376973,0.310137,0.255229
0.454423,0.376962,0.310073,0.255222
0.454512,0.376979,0.310215,0.255239
0.454576,0.376969,0.310266,0.25523
0.453898,0.376913,0.309542,0.255103
0.453461,0.376814,0.309219,0.255056
0.453307,0.37679,0.309244,0.255057
0.453153,0.376742,0.309019,0.255012
0.453666,0.376734,0.309444,0.25504
0.453745,0.376625,0.309468,0.255024
0.454114,0.376515,0.309796,0.254988
0.453713,0.376481,0.309367,0.254885
0.454076,0.37647,0.309839,0.254885
0.454133,0.376436,0.309976,0.254912
0.454117,0.376384,0.309783,0.254689
0.456411,0.376376,0.312541,0.254822
0.456799,0.376365,0.312459,0.25486
0.457341,0.376324,0.312791,0.254838
0.457196,0.376226,0.3126,0.254821
0.457368,0.376221,0.31274,0.254811
0.457294,0.376216,0.312637,0.254802
0.457146,0.376211,0.312473,0.254773
0.456544,0.376127,0.311898,0.254542
0.45647,0.376128,0.311967,0.254535
0.455975,0.376103,0.311482,0.254394
0.456307,0.376083,0.311856,0.254437
0.45627,0.376051,0.311775,0.254334
0.459255,0.376136,0.31495,0.254599
0.459524,0.376037,0.315008,0.254531
0.459454,0.376038,0.314943,0.254521
0.459147,0.375992,0.314513,0.254419
0.458825,0.375937,0.314262,0.254356
0.458277,0.375928,0.313665,0.254256
0.458181,0.375918,0.313635,0.254251
0.457904,0.375817,0.313391,0.254185
0.457603,0.375787,0.313183,0.254054
0.457241,0.375787,0.312796,0.253996
0.456568,0.37572,0.312131,0.253869
0.456365,0.375602,0.312007,0.253697
0.456355,0.37559,0.311997,0.253694
0.456533,0.375459,0.312374,0.253836
0.45598,0.375191,0.311583,0.25368
0.456332,0.375132,0.312091,0.253721
0.457075,0.375099,0.312998,0.253814
0.457141,0.375086,0.313097,0.253842
0.457204,0.375087,0.313162,0.253853
0.457524,0.374907,0.313235,0.253609
0.457468,0.374884,0.313235,0.253608
0.459119,0.37478,0.31502,0.25364
0.45899,0.374772,0.314979,0.25361
0.45895,0.374816,0.31501,0.253655
0.458703,0.374661,0.314943,0.253682
0.458526,0.374555,0.314932,0.253503
0.458312,0.374552,0.314727,0.253464
0.458381,0.37454,0.31466,0.253425
0.458193,0.374554,0.31438,0.253385
0.458328,0.374493,0.314486,0.253352
0.458155,0.374485,0.314286,0.25333
0.458344,0.374476,0.314514,0.253389
0.458258,0.374414,0.314389,0.253337
0.458169,0.374379,0.314297,0.253253
0.457865,0.374376,0.314055,0.253248
0.457853,0.374265,0.314021,0.253059
0.457424,0.374204,0.313945,0.252956
0.457518,0.374168,0.314028,0.252864
0.45748,0.37416,0.314018,0.252913
0.457938,0.374153,0.314508,0.25299
0.457691,0.374125,0.314184,0.252972
0.458037,0.374015,0.314446,0.252853
0.458602,0.373987,0.314873,0.252768
0.458705,0.373989,0.315047,0.252763
