Valeur fonciere,Code departement,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Code commune,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
250000.0,60,0.0,1.0,150.0,8.0,471.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87000.0,10,1.0,2.0,71.0,3.0,387.0,0.0,112.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199000.0,45,0.0,1.0,125.0,5.0,188.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120500.0,78,0.0,1.0,250.0,7.0,233.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112000.0,51,2.0,2.0,72.0,3.0,454.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54257152.0,18,0.0,1.0,71.0,3.0,33.0,3697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90000.0,81,0.0,1.0,151.0,5.0,105.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64000.0,13,1.0,2.0,25.0,2.0,204.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63400.0,31,0.0,1.0,45.0,2.0,52.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147400.0,6,1.0,2.0,36.0,2.0,29.0,0.0,10.0,34.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174000.0,38,2.0,2.0,64.0,2.0,185.0,0.0,189.0,67.04,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290000.0,13,2.0,2.0,78.0,2.0,207.0,0.0,51.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380000.0,78,0.0,1.0,148.0,4.0,624.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81000.0,72,0.0,1.0,39.0,2.0,181.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115000.0,29.0,0.0,1.0,85.0,5.0,160.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143750.0,60,0.0,1.0,65.0,4.0,647.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65000.0,44,0.0,1.0,72.0,4.0,87.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65000.0,72,0.0,1.0,71.0,4.0,176.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34152120.0,78,0.0,1.0,96.0,5.0,423.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329500.0,13,2.0,2.0,84.0,3.0,208.0,0.0,67.0,79.75,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142000.0,73,2.0,2.0,67.0,4.0,65.0,0.0,134.0,66.81,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19140.0,23,0.0,1.0,76.0,4.0,260.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331000.0,78,0.0,1.0,78.0,4.0,624.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000.0,22,0.0,1.0,98.0,5.0,198.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000.0,52,0.0,2.0,30.0,2.0,121.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50,0.0,1.0,51.0,2.0,542.0,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141560.0,11,0.0,1.0,70.0,2.0,296.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285000.0,78,2.0,2.0,64.0,3.0,418.0,0.0,12.0,64.59,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106000.0,52,0.0,1.0,82.0,5.0,121.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53800.0,22,0.0,1.0,66.0,2.0,352.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149500.0,19,0.0,1.0,76.0,3.0,274.0,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660000.0,59,0.0,1.0,200.0,5.0,512.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63610.0,48,0.0,2.0,57.0,2.0,51.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
